label,rows,school_count,mae,median_ae,p95_ae,rmse,wape,bias,mean_error,top100_mean_abs_error,top100_median_abs_error,abs_error_1000_count,actual_base_ratio_3_count,base_le_300_actual_ge_1000_count,level_r2,delta_r2,model_label,filter_version,filter_definition
old_R3_tuned_final_p1_only,204043,10407,34.29354201835434,18.345010359520927,120.79308403516976,55.23845686822669,0.08898004274627548,-1.7325867698127628,-1.7325867698127628,433.12955252702807,416.34064775310713,0,136,0,0.9685442530672544,0.4816085509570436,old_R3_tuned_final,p1_only,Policy 1 only full normal panel
old_R3_tuned_final_p1_focus_under700,161057,8958,26.556759237417328,14.297266902904994,91.54341698566529,43.64936743624778,0.10030364101241596,-0.6656131378427919,-0.6656131378427919,384.54243369478036,368.4499743830655,0,136,0,0.9557930030077877,0.388775637289157,old_R3_tuned_final,p1_focus_under700,Policy 1 plus base_student_count under 700 focus view
old_R3_tuned_final_p1_focus_under1000,192334,10125,31.86133392848577,17.12340074949266,111.2494261740139,51.45278513955316,0.09245928660838675,-1.7078052022504966,-1.7078052022504966,413.4741533155856,403.30548821909883,0,136,0,0.9630686630233917,0.4411084366391248,old_R3_tuned_final,p1_focus_under1000,Auxiliary under/equal 1000 view
new_R5_full_no_sampling_optuna_tuned_p1_only,204043,10407,35.80326571364587,18.5887733621243,128.01860480927198,57.89303832653678,0.09289726071315123,0.708961525970482,0.708961525970482,432.0469337179933,417.7660518363988,0,136,0,0.965448284730583,0.43058691997591836,new_R5_full_no_sampling_optuna_tuned,p1_only,Policy 1 only full normal panel
new_R5_full_no_sampling_optuna_tuned_p1_focus_under700,161057,8958,27.78360496249125,14.62451334121802,97.84448166914868,45.43952584983934,0.1049373800950089,1.5326391676183502,1.5326391676183502,386.8938472378403,366.08675544669046,0,136,0,0.9520925905592598,0.33761219271007437,new_R5_full_no_sampling_optuna_tuned,p1_focus_under700,Policy 1 plus base_student_count under 700 focus view
new_R5_full_no_sampling_optuna_tuned_p1_focus_under1000,192334,10125,33.214202048959834,17.40171545803926,117.71849744445863,53.60228739657883,0.09638521204437196,0.5772043292557871,0.5772043292557871,412.93211430812204,399.19223500059354,0,136,0,0.9599185061153327,0.3934362898037075,new_R5_full_no_sampling_optuna_tuned,p1_focus_under1000,Auxiliary under/equal 1000 view
selected_final_p1_only,204043,10407,34.29354201835434,18.345010359520927,120.79308403516976,55.23845686822669,0.08898004274627548,-1.7325867698127628,-1.7325867698127628,433.12955252702807,416.34064775310713,0,136,0,0.9685442530672544,0.4816085509570436,selected_final,p1_only,Policy 1 only full normal panel
selected_final_p1_focus_under700,161057,8958,26.556759237417328,14.297266902904994,91.54341698566529,43.64936743624778,0.10030364101241596,-0.6656131378427919,-0.6656131378427919,384.54243369478036,368.4499743830655,0,136,0,0.9557930030077877,0.388775637289157,selected_final,p1_focus_under700,Policy 1 plus base_student_count under 700 focus view
selected_final_p1_focus_under1000,192334,10125,31.86133392848577,17.12340074949266,111.2494261740139,51.45278513955316,0.09245928660838675,-1.7078052022504966,-1.7078052022504966,413.4741533155856,403.30548821909883,0,136,0,0.9630686630233917,0.4411084366391248,selected_final,p1_focus_under1000,Auxiliary under/equal 1000 view
