sido,school_level,excluded_school_count
강원,고등학교,7
강원,중학교,18
강원,초등학교,88
경기,고등학교,110
경기,중학교,126
경기,초등학교,317
경남,고등학교,16
경남,중학교,58
경남,초등학교,103
경북,고등학교,26
경북,중학교,54
경북,초등학교,116
광주,고등학교,10
광주,중학교,8
광주,초등학교,21
대구,고등학교,11
대구,중학교,27
대구,초등학교,52
대전,고등학교,7
대전,중학교,9
대전,초등학교,21
부산,고등학교,9
부산,중학교,23
부산,초등학교,69
서울,고등학교,53
서울,중학교,28
서울,초등학교,76
세종,고등학교,16
세종,중학교,17
세종,초등학교,26
울산,고등학교,18
울산,중학교,10
울산,초등학교,25
인천,고등학교,20
인천,중학교,29
인천,초등학교,54
전남,고등학교,23
전남,중학교,37
전남,초등학교,121
전북,고등학교,7
전북,중학교,18
전북,초등학교,60
제주,중학교,5
제주,초등학교,12
충남,고등학교,9
충남,중학교,29
충남,초등학교,89
충북,고등학교,9
충북,중학교,19
충북,초등학교,57
