school_level,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
고등학교,2025,2112,2112,1104613.0,523.017518939394,514.5,84,,,,1.3652055978455897,0.0,0.0
고등학교,2026,2112,2112,1067902.9272099098,505.6358556865103,499.3480391620009,89,,,,1.3652055978455897,-36710.07279009023,-0.03323342454786448
고등학교,2027,2112,2112,1036857.3726837009,490.9362560055402,486.63462795208443,92,,,,1.3652055978455897,-67755.62731629913,-0.06133879224334598
고등학교,2028,2112,2112,1026673.7004581265,486.11444150479474,481.33034915331734,93,,,,1.3652055978455897,-77939.29954187351,-0.07055801402108568
고등학교,2029,2112,2112,1022831.5138246573,484.29522434879607,479.3270418891648,97,,,,1.3652055978455897,-81781.4861753427,-0.07403632419258392
고등학교,2030,2112,2112,1015724.5081058517,480.93016482284645,477.69032729350926,99,1224.0,91.0,89.0,1.3652055978455897,-88888.49189414829,-0.08047025690820975
중학교,2025,2942,2942,1118217.0,380.0873555404487,350.0,562,,,,1.6225109035971166,0.0,0.0
중학교,2026,2942,2942,1115777.0357455881,379.2579999135242,348.2558111288388,561,,,,1.6225109035971166,-2439.9642544118688,-0.0021820131999530225
중학교,2027,2942,2942,1099825.1625564785,373.8358812224604,343.869048661025,571,,,,1.6225109035971166,-18391.83744352148,-0.016447467212107738
중학교,2028,2942,2942,1077559.2705840648,366.267597071402,335.6953325080442,576,,,,1.6225109035971166,-40657.72941593523,-0.03635942703065258
중학교,2029,2942,2942,1064951.1471221833,361.98203505172785,330.7279117890064,587,,,,1.6225109035971166,-53265.85287781665,-0.04763462984180767
중학교,2030,2942,2942,1066176.1172012365,362.3984082940981,330.3799901835831,589,1069.0,513.0,543.0,1.6225109035971166,-52040.88279876346,-0.0465391626122331
초등학교,2025,5400,5399,1614823.0,299.0412962962963,223.0,1669,,,,0.8765626775733399,0.0,0.0
초등학교,2026,5400,5399,1523802.8779775356,282.1857181439881,205.8640812431292,1700,,,,0.8765626775733399,-91020.1220224644,-0.05636538618936218
초등학교,2027,5400,5399,1440428.3749111043,266.7459953539082,190.84100015688057,1746,,,,0.8765626775733399,-174394.62508889567,-0.10799612408845778
초등학교,2028,5400,5399,1352381.6513057682,250.4410465381052,177.5670767551877,1809,,,,0.8765626775733399,-262441.3486942318,-0.1625201949032382
초등학교,2029,5400,5399,1261151.327566085,233.54654214186758,164.96725837436009,1880,,,,0.8765626775733399,-353671.6724339151,-0.21901575122097908
초등학교,2030,5400,5399,1175311.2166340095,217.65022530259435,152.97381389260852,1934,4769.0,851.0,1215.0,0.8765626775733399,-439511.7833659905,-0.27217334863696546
